lat,lon,alt,date,device,os,version
39.9754180908,-83.0010757446,236,2013-02-28 23:13:04,"iPhone4,1",6.1.2,1.1
39.9754180908,-83.0010757446,236,2013-02-28 23:13:04,"iPhone4,1",6.1.3,1.1
39.9544448853,-82.979347229,231,2013-02-28 23:17:20,"iPhone4,1",6.1.2,1.1
39.9544448853,-82.979347229,231,2013-02-28 23:17:20,"iPhone4,1",6.1.3,1.1
39.9204826355,-82.9207839966,227,2013-02-28 23:21:36,"iPhone4,1",6.1.2,1.1
39.9204826355,-82.9207839966,227,2013-02-28 23:21:36,"iPhone4,1",6.1.3,1.1
39.8680343628,-82.8518218994,218,2013-02-28 23:28:00,"iPhone4,1",6.1.2,1.1
39.8680343628,-82.8518218994,218,2013-02-28 23:28:00,"iPhone4,1",6.1.3,1.1
39.8383026123,-82.7604980469,234,2013-02-28 23:32:16,"iPhone4,1",6.1.2,1.1
39.8383026123,-82.7604980469,234,2013-02-28 23:32:16,"iPhone4,1",6.1.3,1.1
39.8004150391,-82.709197998,244,2013-02-28 23:38:40,"iPhone4,1",6.1.2,1.1
39.8004150391,-82.709197998,244,2013-02-28 23:38:40,"iPhone4,1",6.1.3,1.1
39.7847824097,-82.6916503906,236,2013-02-28 23:45:04,"iPhone4,1",6.1.2,1.1
39.7847824097,-82.6916503906,236,2013-02-28 23:45:04,"iPhone4,1",6.1.3,1.1
39.7056465149,-82.6700668335,262,2013-02-28 23:49:20,"iPhone4,1",6.1.2,1.1
39.7056465149,-82.6700668335,262,2013-02-28 23:49:20,"iPhone4,1",6.1.3,1.1
39.6674919128,-82.5875473022,270,2013-02-28 23:53:36,"iPhone4,1",6.1.2,1.1
39.6674919128,-82.5875473022,270,2013-02-28 23:53:36,"iPhone4,1",6.1.3,1.1
39.6029663086,-82.5483551025,228,2013-03-01 00:00:00,"iPhone4,1",6.1.2,1.1
39.6029663086,-82.5483551025,228,2013-03-01 00:00:00,"iPhone4,1",6.1.3,1.1
39.5581970215,-82.4880752563,247,2013-03-01 00:04:16,"iPhone4,1",6.1.2,1.1
39.5581970215,-82.4880752563,247,2013-03-01 00:04:16,"iPhone4,1",6.1.3,1.1
39.5319519043,-82.3960189819,219,2013-03-01 00:08:32,"iPhone4,1",6.1.2,1.1
39.5319519043,-82.3960189819,219,2013-03-01 00:08:32,"iPhone4,1",6.1.3,1.1
39.4820518494,-82.3180007935,217,2013-03-01 00:14:56,"iPhone4,1",6.1.2,1.1
39.4820518494,-82.3180007935,217,2013-03-01 00:14:56,"iPhone4,1",6.1.3,1.1
39.4615478516,-82.2406921387,205.277557373,2013-03-01 00:19:12,"iPhone4,1",6.1.2,1.1
39.4615478516,-82.2406921387,205.277557373,2013-03-01 00:19:12,"iPhone4,1",6.1.3,1.1
39.4052009583,-82.1706924438,207.719268799,2013-03-01 00:32:00,"iPhone4,1",6.1.2,1.1
39.4052009583,-82.1706924438,207.719268799,2013-03-01 00:32:00,"iPhone4,1",6.1.3,1.1
39.3218536377,-82.104309082,193.368545532,2013-03-01 00:40:32,"iPhone4,1",6.1.2,1.1
39.3218536377,-82.104309082,193.368545532,2013-03-01 00:40:32,"iPhone4,1",6.1.3,1.1
39.3281097412,-82.0997467041,209.462615967,2013-03-01 00:51:12,"iPhone4,1",6.1.2,1.1
39.3281097412,-82.0997467041,209.462615967,2013-03-01 00:51:12,"iPhone4,1",6.1.3,1.1
39.3281669617,-82.0999069214,217.98147583,2013-03-01 02:20:48,"iPhone4,1",6.1.2,1.1
39.3281669617,-82.0999069214,217.98147583,2013-03-01 02:20:48,"iPhone4,1",6.1.3,1.1
39.3843803406,-82.1357116699,213.132247925,2013-03-01 03:37:36,"iPhone4,1",6.1.2,1.1
39.3843803406,-82.1357116699,213.132247925,2013-03-01 03:37:36,"iPhone4,1",6.1.3,1.1
39.982170105,-83.001449585,230,2013-03-01 05:11:28,"iPhone4,1",6.1.2,1.1
39.982170105,-83.001449585,230,2013-03-01 05:11:28,"iPhone4,1",6.1.3,1.1
39.9832000732,-83.0030975342,243.791259766,2013-03-01 13:02:56,"iPhone4,1",6.1.2,1.1
39.9832000732,-83.0030975342,243.791259766,2013-03-01 13:02:56,"iPhone4,1",6.1.3,1.1
39.9819793701,-83.0011825562,234.622924805,2013-03-01 13:02:56,"iPhone4,1",6.1.3,1.1
39.9768447876,-83.0029373169,235.85458374,2013-03-01 13:39:12,"iPhone4,1",6.1.2,1.1
39.9768447876,-83.0029373169,235.85458374,2013-03-01 13:39:12,"iPhone4,1",6.1.3,1.1
39.9812812805,-83.0042419434,232,2013-03-01 14:11:12,"iPhone4,1",6.1.2,1.1
39.9812812805,-83.0042419434,232,2013-03-01 14:11:12,"iPhone4,1",6.1.3,1.1
39.9865036011,-83.0054321289,232,2013-03-01 18:44:16,"iPhone4,1",6.1.2,1.1
39.9865036011,-83.0054321289,232,2013-03-01 18:44:16,"iPhone4,1",6.1.3,1.1
39.9993782043,-83.0059432983,232.093505859,2013-03-01 20:24:32,"iPhone4,1",6.1.2,1.1
39.9993782043,-83.0059432983,232.093505859,2013-03-01 20:24:32,"iPhone4,1",6.1.3,1.1
39.9886016846,-83.0059356689,231.973770142,2013-03-01 20:28:48,"iPhone4,1",6.1.2,1.1
39.9886016846,-83.0059356689,231.973770142,2013-03-01 20:28:48,"iPhone4,1",6.1.3,1.1
39.9840507507,-83.0048751831,232,2013-03-01 22:34:40,"iPhone4,1",6.1.2,1.1
39.9840507507,-83.0048751831,232,2013-03-01 22:34:40,"iPhone4,1",6.1.3,1.1
39.9821739197,-83.0014266968,237,2013-03-01 23:08:48,"iPhone4,1",6.1.2,1.1
39.9821739197,-83.0014266968,237,2013-03-01 23:08:48,"iPhone4,1",6.1.3,1.1
39.9821586609,-83.001159668,232.672088623,2013-03-01 23:25:52,"iPhone4,1",6.1.2,1.1
39.9821586609,-83.001159668,232.672088623,2013-03-01 23:25:52,"iPhone4,1",6.1.3,1.1
39.9902458191,-82.9994735718,240.572769165,2013-03-02 16:27:44,"iPhone4,1",6.1.2,1.1
39.9902458191,-82.9994735718,240.572769165,2013-03-02 16:27:44,"iPhone4,1",6.1.3,1.1
39.9947090149,-83.0067825317,233.233306885,2013-03-02 16:38:24,"iPhone4,1",6.1.2,1.1
39.9947090149,-83.0067825317,233.233306885,2013-03-02 16:38:24,"iPhone4,1",6.1.3,1.1
39.9876480103,-83.0055770874,233.383361816,2013-03-02 16:59:44,"iPhone4,1",6.1.2,1.1
39.9876480103,-83.0055770874,233.383361816,2013-03-02 16:59:44,"iPhone4,1",6.1.3,1.1
39.9822425842,-83.0010070801,233.031982422,2013-03-02 17:04:00,"iPhone4,1",6.1.2,1.1
39.9822425842,-83.0010070801,233.031982422,2013-03-02 17:04:00,"iPhone4,1",6.1.3,1.1
